property_name,property_type,address,area,year,floors,developer,transaction_count,image_url,region,district,code
Luen Fat Loong Factory Building,Industrial,19 Cheung Lee Street,,1965 Year,6 Floor(s),,,https://hkis.centanet.com/oir/bGvEaOQ8bGUlIihDXlxeXUFdXUFcVUNaKilYWykqX1wvWlVYVC5YVVtdLlVeKF5UWCheLVsoKkIGHAs=.jpg,HK_Island,Chai Wan,WS012
Fook Hing Factory Building,Industrial,33 Lee Chung Street,,1972 Year,10 Floor(s),,,https://hkis.centanet.com/oir/Hhm2GpZOHhdXUFoxLC4sLzMvLzMuJzEtJionX1xbJ1smLCgqLlwnJlxYJy9bLlxbWCpYW1osXDB0bnk=.jpg,HK_Island,Chai Wan,WS012
Minico Building,Industrial,18 Lee Chung Street,,1980 Year,13 Floor(s),,,https://hkis.centanet.com/oir/W1zzX9MLW1ISFR90aWtqaHZrb3ZpaHRvbmJibnUxKzw=.jpg,HK_Island,Chai Wan,WS012
Shun Yee Factory Building,Industrial,30-32 Lee Chung Street,,1966 Year,10 Floor(s),,,https://hkis.centanet.com/oir/b2jHa-c_b2YmIStAXV9dXkJeXkJfVkBYWF1WKVtaV10qLStbLlZfVldZXSwtVlxcLl8tXV9WLkEFHwg=.jpg,HK_Island,Chai Wan,WS012
Mega-iAdvantage,Industrial,399 Chai Wan Road,,2000 Year,34 Floor(s),"Sun Hung Kai Properties Limited, Sanewing Investments Limited",,https://hkis.centanet.com/oir/X1j3W9cPX1YWERtwbW9ubXJubXJsbnBra2hubHE1Lzg=.jpg,HK_Island,Chai Wan,WS012
Citicorp Centre,Office,18 Whitfield Road,"10,900 - 16,257ft² approx",1983 Year,37 Floor(s),Cheung Kong (Holdings) Limited,2,https://hkis.centanet.com/oir/ZWLNYe01ZWw9PylKV1VUU0hVUEhXVUpUVVJXV1NLDxUC.jpg,HK_Island,Tin Hau,WS046
Sea View Estate B,Industrial,2-8 Watson Road,,1966 Year,14 Floor(s),Laws Property Holdings Limited,3,https://hkis.centanet.com/oir/ERa5FZlBERhYX1U-IyEjIDwgIzwgJT4jJldQIikoIVRXVVAlUChVKCgkJCQmIFRUVSEiU1QoKT97YXY=.jpg,HK_Island,Tin Hau,WS046
Sea View Estate A,Industrial,2-8 Watson Road,,1966 Year,14 Floor(s),Laws Property Holdings Limited,4,https://hkis.centanet.com/oir/EhW6FppCEhtbXFY9ICIgIz8jID8jJj1TVidTKidQJiQiUCImVCVXK1QhUCVQViQmUCYlUytWUzx4YnU=.jpg,HK_Island,Tin Hau,WS046
Sea View Estate C,Industrial,2-8 Watson Road,,1971 Year,14 Floor(s),Laws Property Holdings Limited,1,https://hkis.centanet.com/oir/YWbJZekxYWgoLyVOU1FTUExQU0xQVU5UVyBSIFhQVVVZUFdVWFNZWVVWJFhSJCBVUFVYVCNVVk8LEQY=.jpg,HK_Island,Tin Hau,WS046
Centro-Sound Industrial Building,Industrial,6 A Kung Ngam Village Road,,1978 Year,7 Floor(s),,2,https://hkis.centanet.com/oir/Wl3yXtIKWlMTFB51aGprbXdqb3doaHVtbm5pb3QwKj0=.jpg,HK_Island,Shau Kei Wan,WS011
Hop Lung Factory Building,Industrial,1 Mong Lung Street,,1975 Year,21 Floor(s),,4,https://hkis.centanet.com/oir/WV7xXdEJWVAQFx12a2loa3Roa3Roa3ZtbWpoaXczKT4=.jpg,HK_Island,Shau Kei Wan,WS011
Manson Industrial Building,Industrial,8 A Kung Ngam Village Lane,,1976 Year,16 Floor(s),,,https://hkis.centanet.com/oir/VVL9Ud0FVVwcGxF6Z2VlbXhlY3hnbXpkbGJmYHs_JTI=.jpg,HK_Island,Shau Kei Wan,WS011
Horizon East (SKW),Industrial,3 Tung Wong Road,,2000 Year,21 Floor(s),,,https://hkis.centanet.com/oir/W1zzX9MLW1ISFR90aWtrY3ZrbXZpY3Rpa25oaHUxKzw=.jpg,HK_Island,Shau Kei Wan,WS011
Len Shing Industrial Centre,Industrial,4 A Kung Ngam Village Road,,1980 Year,5 Floor(s),,,https://hkis.centanet.com/oir/U1T7V9sDU1oaHRd8YWNiYX5iYX5iYXxnZ2BrYH05IzQ=.jpg,HK_Island,Shau Kei Wan,WS011
Storefriendly Tower (Island East),Industrial,8 A Kung Ngam Village Road,,1980 Year,5 Floor(s),,,https://hkis.centanet.com/oir/Y2TLZ-szY2oqLSdMUVNRV05TWk5QU0wnUiVUWlFSVFRVIFNXIlRUIiFWUlZSUFNbJlciUCUnU00JEwQ=.jpg,HK_Island,Shau Kei Wan,WS011
Fullagar Industrial Building,Industrial,234 Aberdeen Main Road,"12,262ft² approx",1986 Year,25 Floor(s),Cheung Kong (Holdings) Limited,14,https://hkis.centanet.com/oir/UlX6VtoCUlsbHBZ9YGJian9iZH9gan1jamZnZHw4IjU=.jpg,HK_Island,Aberdeen,WS047
Aberdeen Industrial Building,Industrial,236 Aberdeen Main Road,,1982 Year,22 Floor(s),,2,https://hkis.centanet.com/oir/VlH-Ut4GVl8fGBJ5ZGZnbntmZXtnZXlhYWBiYng8JjE=.jpg,HK_Island,Aberdeen,WS047
Shing Dao Industrial Building,Industrial,232 Aberdeen Main Road,,1978 Year,20 Floor(s),E. Wah Realty Limited,1,https://hkis.centanet.com/oir/U1T7V9sDU1oaHRd8YWNja35jZX5ha3xiamRhYX05IzQ=.jpg,HK_Island,Aberdeen,WS047
