building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,centanet_id,centanet_original_key,centanet_name,match_score
LH_6,6,6,World-Wide House,38502278-5872-4e7f-9bc8-5823f6f672c6,38502278-5872-4e7f-9bc8-5823f6f672c6,World-Wide House,90.0
LH_7118,7118,7118,Y Centre,3c6e7596-5151-4d07-9deb-b50ff5532396,3c6e7596-5151-4d07-9deb-b50ff5532396,Kin Fat Industrial Centre,75.0
LH_628,628,628,Yardley Commercial Building,fbb499b1-7224-45d1-a8a9-723ecad9af35,fbb499b1-7224-45d1-a8a9-723ecad9af35,Yardley Commercial Building,90.0
LH_5602,5602,5602,Yen Sheng Centre,35b73796-8b96-43c0-9d8b-e4e7e5614365,35b73796-8b96-43c0-9d8b-e4e7e5614365,Yen Sheng Centre,90.0
LH_1145,1145,1145,YF Life Centre,52234dba-084c-4576-9e02-c3914382c9a3,52234dba-084c-4576-9e02-c3914382c9a3,YF Life Centre,90.0
LH_970,970,970,YF Life Tower,56ad9d3c-d2a5-4498-836d-b0927fca8768,56ad9d3c-d2a5-4498-836d-b0927fca8768,YF Life Tower,90.0
LH_15094,15094,15094,YHC Tower,480e9267-78f9-4bb7-bbaf-6db9e22c0d6c,480e9267-78f9-4bb7-bbaf-6db9e22c0d6c,YHC Tower,90.0
LH_148,148,148,York House,928324ca-bb2c-44a5-9cee-fa928cfd6821,928324ca-bb2c-44a5-9cee-fa928cfd6821,York House,90.0
LH_1372,1372,1372,Yue Hing Building,69218c6e-752c-4bc2-823e-5cff7c6b19a1,69218c6e-752c-4bc2-823e-5cff7c6b19a1,Yue Hing Building,90.0
LH_972,972,972,Yue Xiu Building,895c6861-b9a3-4c29-9771-85b9f0956417,895c6861-b9a3-4c29-9771-85b9f0956417,Yue Xiu Building,90.0
