ID,Name,Street Name,Area Name,Year Built,Highest Floor,Typical Floor Area,District Name,Latitude,Longitude,Grade,Min Rent,Max Rent,Min Price,Max Price
4653,Artisan Hub,9 Luk Hop Street,Sanpokong,1966,11,"5,564 - 6,889",Wong Tai Sin District,22.3376498,114.1992468,B,,,,
18136,Artist Square Tower 1,Austin Road West,West Kowloon,2026,18,"12,820 - 32,940",Yau Tsim Mong District,,,A,,,,
18137,Artist Square Tower 2,Austin Road West,West Kowloon,2026,,"13,800 - 35,460",Yau Tsim Mong District,22.30167519457333,114.16089144850194,A,,,,
18138,Artist Square Tower 3,Austin Road West,West Kowloon,2026,16,"10,990",Yau Tsim Mong District,22.30096489315939,114.16159411473646,A,,,,
4678,Ashley Nine,9-11 Ashley Road,Tsimshatsui,1999,19,"1,866",Yau Tsim Mong District,22.2967161,114.1703701,B+,0,25,,
13106,Asia Harvest Commercial Centre,324 Shau Kei Wan Road,Shau Kei Wan,1995,,"1,236",Eastern District,22.278926001,114.22596399800001,C,19.1,19.1,,
146,Asia Standard Tower,59-65 Queen's Road Central,Central,1977,23,"2,702 - 5,621",Central and Western District,22.28311552126639,114.15563375965712,B,35,35,,
4681,Astoria Building,24-38 Ashley Road,Tsimshatsui,1974,,"3,225",Yau Tsim Mong District,22.2975606,114.1705723,B,,,,
2771,AT Tower,180 Electric Road,North Point,1995,,"2,350",Eastern District,22.28794772272988,114.19257040674589,B,,,,
2973,Attilio Building,579 Nathan Road,Mongkok,2001,19,"1,557",Yau Tsim Mong District,22.315410996,114.169910008,B,,,,
1174,Aubin House,171-172 Gloucester Road,Wanchai,1979,22,"1,220",Wanchai District,22.279786008,114.17819199499999,C,,,,
2743,Austin Commercial Centre,4-4A Austin Avenue,Tsimshatsui,1993,,"1,183",Yau Tsim Mong District,22.3022458,114.1762226,C,,,,
2718,Austin Plaza,83 Austin Road,Jordan,1995,23,"4,200",Yau Tsim Mong District,22.3033327,114.170994,B,28,28,8970,8970
2738,Austin Tower,22-26 Austin Avenue,Tsimshatsui,1982,,"10,000",Yau Tsim Mong District,22.303090002,114.175223996,B,33.07,33.07,8363,8363
2664,Auto Plaza,65 Mody Road,Tsimshatsui,1984,,,Yau Tsim Mong District,22.2985603,114.1765404,B,50,50,,
1992,Aveny,31 Wyndham Street,Central,2008,,590 - 705,Central and Western District,22.28023482014958,114.15536776368947,B+,31,31,,
3826,AXA Southside,38 Wong Chuk Hang Road,Wong Chuk Hang,2016,29,"1,647 - 7,050",Southern District,22.2481054,114.1660903,A,17.5,19.5,,
7154,Bai Yun Building,10-12 Wai Ching Street,Jordan,1994,,,Yau Tsim Mong District,22.3062401,114.1674796,C,,,,
3580,Bangkok Bank Building,18 Bonham Strand West,Sheung Wan,1991,24,"3,565",Central and Western District,22.286668996,114.14874299899999,B,23,27,,
2974,Bangkok Bank Building,490-492 Nathan Road,Yaumatei,1976,,,Yau Tsim Mong District,22.311594999,114.17115799800001,B,,,,
48,Bangkok Bank Building,28 Des Voeux Road Central,Central,1971,19,"890 - 2,894",Central and Western District,22.28289415055991,114.15689052997953,B,,,,
1133,Bank of America Tower,12 Harcourt Road,Central,1975,37,"13,880",Central and Western District,22.280705997,114.162978001,A,39,53,20000,45000
2,Bank of China Building,2A Des Voeux Road Central,Central,1952,15,"6,865",Central and Western District,22.28028300924878,114.16014746551184,A++,,,,
3045,Bank of China Mongkok Commercial Centre,587-589 Nathan Road,Mongkok,1970,,,Yau Tsim Mong District,22.315765001,114.16983400299999,B,,,,
1295,Bank of China Tower,1 Garden Road,Central,1989,70,"6,095 - 18,500",Central and Western District,22.279359008,114.161495006,A++,100,110,,
3040,Bank of Communications Building,563 Nathan Road,Mongkok,1977,,,Yau Tsim Mong District,22.314551992,114.17019599400001,C,,,,
