queriedDistrict,queriedCode,propertyID,buildingNameEn,address,developers,opDateDisplayName,floorDisplayName,districtNameEn,zoneEn,sellCount,rentCount,transCount
Causeway Bay,WS007,8bf26ee3-4fb7-4676-9ca9-e001a8ade456,Hysan Place,500 Hennessy Road,Hysan Development Company Limited,2012 Year,39 Floor(s),Causeway Bay,Hong Kong,0,0,1
Causeway Bay,WS007,32f29cf4-de81-4504-80dd-557eb0327b0e,Eton Tower,8 Hysan Avenue,,1977 Year,24 Floor(s),Causeway Bay,Hong Kong,0,0,1
Causeway Bay,WS007,84d13b0a-ec63-4d40-b4f0-879291edad73,One Hysan Avenue,1 Hysan Avenue,Hysan Development Company Limited,1976 Year,25 Floor(s),Causeway Bay,Hong Kong,0,0,2
Causeway Bay,WS007,a371348c-d44b-4c16-8a77-adc0fde23777,Lee Garden Five,18 Hysan Avenue,,1989 Year,25 Floor(s),Causeway Bay,Hong Kong,0,0,2
Causeway Bay,WS007,ffb37dc5-b79d-4529-aa39-6cc440b666cb,Lee Garden Two,2-38 Yun Ping Road,,1992 Year,33 Floor(s),Causeway Bay,Hong Kong,0,0,0
Causeway Bay,WS007,f13f20a1-c8a5-403d-8fff-6e7832f4c6ed,Lee Garden Six,111 Leighton Road,,1988 Year,23 Floor(s),Causeway Bay,Hong Kong,0,0,2
Causeway Bay,WS007,eac083a8-d936-4f64-b5a0-b4d2a04d2d01,Goldmark,502 Hennessy Road,New World Group,1987 Year,25 Floor(s),Causeway Bay,Hong Kong,0,0,4
Causeway Bay,WS007,502d1b42-7b73-4da6-b38e-bae5caff4f28,WINDSOR HOUSE - CHUBB TOWER,311 Gloucester Road,SYLVAN HOLDINGS Company Limited,1979 Year,39 Floor(s),Causeway Bay,Hong Kong,0,0,8
Causeway Bay,WS007,639dff46-0802-4634-9329-330796a492cd,Lee Garden One,33 Hysan Avenue,Hysan Development Company Limited,1997 Year,50 Floor(s),Causeway Bay,Hong Kong,0,0,8
Causeway Bay,WS007,3fc43ada-ce48-418a-9d8b-f0a98d59f1b1,Lee Garden Three,10 Hysan Avenue,,2017 Year,29 Floor(s),Causeway Bay,Hong Kong,0,0,1
Central,WS004,fb72724a-7a3b-46e1-b8f2-bc3dad468204,The Center,99 Queen's Road Central,LDC / Cheung Kong (Holdings) Limited,1998 Year,71 Floor(s),Central,Hong Kong,21,78,37
Central,WS004,38502278-5872-4e7f-9bc8-5823f6f672c6,World-Wide House,19 Des Voeux Road Central,Cheung Kong (Holdings) Limited,1980 Year,27 Floor(s),Central,Hong Kong,27,14,22
Central,WS004,32171908-20bd-4a5b-a138-f9758d2739e9,China Insurance Group Building,139-141 Des Voeux Road Central,Wheelock and Company Limited,1967 Year,32 Floor(s),Central,Hong Kong,11,20,16
Central,WS004,c82072f6-c5c3-435f-8d5f-528a8b35f947,Bank of America Tower,12 Harcourt Road,Gammon Construction Limited,1975 Year,40 Floor(s),Central,Hong Kong,17,16,36
Central,WS004,b9540fc8-d13f-4207-b034-467a65f83fbc,The Centrium,60 Wyndham Street,SINO GROUP,2001 Year,36 Floor(s),Central,Hong Kong,1,25,11
