Building Name,Address,Detail URL
Horizon East,1 Tsat Po Street,https://www.midlandici.com.hk/ics/property/building/details/B000103151/Horizon-East
Laurels Industrial Centre,32 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000021164/Laurels-Industrial-Centre
Luk Hop Industrial Building,8 Luk Hop Street,https://www.midlandici.com.hk/ics/property/building/details/B000021509/Luk-Hop-Industrial-Building
Max Trade Centre,23 Luk Hop Street,https://www.midlandici.com.hk/ics/property/building/details/B000021792/Max-Trade-Centre
Midas Plaza,1 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000062682/Midas-Plaza
New Tech Plaza,34 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000022097/New-Tech-Plaza
New Trend Centre,704 Prince Edward Road East & 104 King Fuk Street,https://www.midlandici.com.hk/ics/property/building/details/B000022103/New-Trend-Centre
Win Plaza,9 Sheung Hei Street,https://www.midlandici.com.hk/ics/property/building/details/B000066796/Win-Plaza
Wing Sum Factory Building No.2,12-14 Sam Chuk Street,https://www.midlandici.com.hk/ics/property/building/details/B000025014/Wing-Sum-Factory-Building-No.2
Wong King Industrial Building,192-198 Choi Hung Road & 2-4 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000025128/Wong-King-Industrial-Building
1 Hung To Road,1 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007896/1-Hung-To-Road
46 Tsun Yip Street,46 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000093836/46-Tsun-Yip-Street
Air Goal Cargo Building,330 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000018063/Air-Goal-Cargo-Building
Aitken Vanson Centre,61 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000018064/Aitken-Vanson-Centre
Apec Plaza,49 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007098/Apec-Plaza
Assun Pacific Centre,41 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007501/Assun-Pacific-Centre
Benson Tower,74 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000059665/Benson-Tower
Billion Trade Centre,31 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007046/Billion-Trade-Centre
Camelpaint Building Block I,62 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007776/Camelpaint-Building-Block-I
Camelpaint Building Block Ii,62 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007777/Camelpaint-Building-Block-Ii
Camelpaint Buildings Block Iii,60 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007778/Camelpaint-Buildings-Block-Iii
Cantake Factory Building,172 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000018311/Cantake-Factory-Building
Capital Trade Centre,62 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007100/Capital-Trade-Centre
Catic Building,44 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007841/Catic-Building
Century Centre,44 & 46 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007102/Century-Centre
Cheung Hing Industrial Building,23 Tai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000018505/Cheung-Hing-Industrial-Building
China Aerospace Centre,143 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000007493/China-Aerospace-Centre
China-trade Centre,122-124 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007104/China-trade-Centre
Chuan Yuan Factory Building,342 & 344 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000018709/Chuan-Yuan-Factory-Building
